Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Tadeu,br BRA,GK,30.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,1.0,34.0,45.0,-11.0,-0.31,1.69,33.3,39.7,-6.4,-0.18,0.76,Matches
Maguinho,br BRA,DF,30.0,34,2857.0,84.0,83.5,31.7,34,84.0,24,0,,0,1.09,28.0,37.0,-9.0,-0.28,1.0,28.5,37.6,-9.2,-0.29,-0.27,Matches
Bruno Melo,br BRA,DF,30.0,33,2891.0,88.0,84.5,32.1,32,88.0,31,1,70.0,0,0.97,33.0,48.0,-15.0,-0.47,-0.13,32.4,36.9,-4.4,-0.14,0.69,Matches
Everton Morelli,br BRA,MF,25.0,32,2585.0,81.0,75.6,28.7,30,84.0,19,2,31.0,0,1.06,23.0,36.0,-13.0,-0.45,-0.02,25.8,32.6,-6.8,-0.24,0.03,Matches
Lucas Halter,br BRA,DF,22.0,30,2582.0,86.0,75.5,28.7,30,86.0,26,0,,0,1.1,29.0,35.0,-6.0,-0.21,0.97,29.4,32.5,-3.1,-0.11,0.56,Matches
Willian,br BRA,MF,29.0,31,2193.0,71.0,64.1,24.4,28,75.0,15,3,34.0,4,1.06,20.0,32.0,-12.0,-0.49,-0.13,19.7,30.3,-10.5,-0.43,-0.53,Matches
Guilherme,br BRA,MF,31.0,30,1851.0,62.0,54.1,20.6,25,71.0,3,5,16.0,1,1.0,22.0,28.0,-6.0,-0.29,0.34,19.5,22.3,-2.9,-0.14,0.23,Matches
Julián Palacios,ar ARG,"FW,MF",23.0,27,1632.0,60.0,47.7,18.1,19,74.0,4,8,28.0,2,0.7,24.0,36.0,-12.0,-0.66,-0.41,19.9,26.3,-6.4,-0.35,-0.21,Matches
Anderson,br BRA,"FW,MF",24.0,20,1291.0,65.0,37.7,14.3,18,70.0,3,2,14.0,1,1.1,12.0,12.0,0.0,0.0,0.72,13.4,12.4,0.9,0.07,0.5,Matches
Sander,br BRA,DF,32.0,21,1542.0,73.0,45.1,17.1,17,87.0,15,4,18.0,2,0.81,15.0,27.0,-12.0,-0.7,-0.46,17.3,24.2,-6.9,-0.4,-0.29,Matches
Hugo,br BRA,DF,25.0,19,1418.0,75.0,41.5,15.8,16,84.0,11,3,23.0,12,1.21,18.0,20.0,-2.0,-0.13,0.55,15.6,17.2,-1.5,-0.1,0.25,Matches
Allano,br BRA,FW,27.0,19,1237.0,65.0,36.2,13.7,15,75.0,3,4,28.0,0,1.26,10.0,14.0,-4.0,-0.29,0.24,11.6,13.8,-2.3,-0.16,0.12,Matches
Vinícius,br BRA,FW,29.0,23,1172.0,51.0,34.3,13.0,13,73.0,4,10,22.0,4,0.96,10.0,15.0,-5.0,-0.38,0.1,11.4,14.6,-3.2,-0.25,-0.01,Matches
Zé Ricardo,br BRA,MF,23.0,13,1070.0,82.0,31.3,11.9,13,82.0,7,0,,0,0.85,9.0,21.0,-12.0,-1.01,-0.82,12.7,17.8,-5.2,-0.43,-0.28,Matches
João Magno,br BRA,FW,25.0,19,983.0,52.0,28.7,10.9,13,68.0,2,6,18.0,1,1.21,15.0,11.0,4.0,0.37,1.14,12.2,9.6,2.6,0.23,0.67,Matches
Dieguinho,br BRA,"DF,FW",27.0,15,1080.0,72.0,31.6,12.0,12,82.0,8,3,30.0,0,0.67,10.0,20.0,-10.0,-0.83,-0.56,10.3,15.3,-4.9,-0.41,-0.25,Matches
Sidimar,br BRA,DF,30.0,18,1007.0,56.0,29.4,11.2,12,77.0,9,6,13.0,16,1.17,7.0,20.0,-13.0,-1.16,-1.01,8.5,17.9,-9.4,-0.84,-0.84,Matches
Matheus Peixoto,br BRA,FW,27.0,13,879.0,68.0,25.7,9.8,12,73.0,3,1,1.0,2,0.92,7.0,17.0,-10.0,-1.02,-0.78,9.4,14.4,-5.0,-0.52,-0.36,Matches
Matheus Babi,br BRA,FW,25.0,17,881.0,52.0,25.8,9.8,8,79.0,4,9,28.0,3,1.06,11.0,16.0,-5.0,-0.51,-0.09,10.7,13.2,-2.5,-0.26,-0.02,Matches
Raphael Guzzo,pt POR,MF,28.0,14,577.0,41.0,16.9,6.4,5,64.0,0,9,28.0,6,0.86,7.0,5.0,2.0,0.31,0.91,7.0,5.8,1.2,0.18,0.51,Matches
Luis Oyama,br BRA,MF,26.0,9,561.0,62.0,16.4,6.2,5,81.0,2,4,40.0,15,0.67,5.0,8.0,-3.0,-0.48,-0.04,5.3,6.0,-0.8,-0.12,0.15,Matches
Bruno Araújo dos Santos,br BRA,DF,29.0,8,454.0,57.0,13.3,5.0,4,82.0,2,4,31.0,16,0.75,8.0,11.0,-3.0,-0.59,-0.17,6.4,5.3,1.1,0.21,0.52,Matches
EDU,br BRA,DF,22.0,9,435.0,48.0,12.7,4.8,4,90.0,4,5,15.0,19,1.22,3.0,5.0,-2.0,-0.41,0.04,4.0,6.7,-2.7,-0.56,-0.36,Matches
Diego Gonçalves,br BRA,"FW,MF",28.0,10,356.0,36.0,10.4,4.0,4,53.0,0,6,24.0,15,1.0,3.0,8.0,-5.0,-1.26,-0.91,4.8,6.2,-1.4,-0.35,-0.12,Matches
Alesson,br BRA,"FW,MF",23.0,23,655.0,28.0,19.2,7.3,3,59.0,0,20,24.0,12,0.61,9.0,14.0,-5.0,-0.69,-0.3,7.9,11.6,-3.7,-0.5,-0.32,Matches
Marcelo Rangel,br BRA,GK,34.0,3,270.0,90.0,7.9,3.0,3,90.0,3,0,,32,1.0,2.0,8.0,-6.0,-2.0,-1.69,3.3,6.1,-2.8,-0.94,-0.76,Matches
Apodi,br BRA,"FW,MF",36.0,13,382.0,29.0,11.2,4.2,2,66.0,0,11,23.0,20,0.62,6.0,11.0,-5.0,-1.18,-0.82,5.5,7.1,-1.7,-0.39,-0.17,Matches
Higor Meritão,br BRA,MF,28.0,8,223.0,28.0,6.5,2.5,2,59.0,0,6,18.0,11,2.0,2.0,4.0,-2.0,-0.81,-0.38,2.9,3.2,-0.3,-0.12,0.13,Matches
Pedrinho Junqueira,br BRA,"FW,MF",18.0,4,195.0,49.0,5.7,2.2,2,86.0,1,2,12.0,1,1.5,1.0,2.0,-1.0,-0.46,-0.02,1.3,2.2,-0.9,-0.42,-0.18,Matches
Matheusinho,br BRA,"FW,MF",24.0,7,195.0,28.0,5.7,2.2,1,67.0,0,6,21.0,2,1.0,4.0,3.0,1.0,0.46,0.96,1.6,2.6,-1.0,-0.45,-0.22,Matches
Gabriel Novaes,br BRA,FW,23.0,3,95.0,32.0,2.8,1.1,1,66.0,0,2,15.0,1,0.33,0.0,2.0,-2.0,-1.89,-1.49,0.7,1.9,-1.2,-1.14,-0.92,Matches
Dodô,br BRA,"MF,FW",21.0,15,323.0,22.0,9.4,3.6,0,,0,15,22.0,18,0.8,5.0,3.0,2.0,0.56,1.11,5.5,4.6,0.9,0.26,0.56,Matches
Philippe Costa,br BRA,FW,22.0,4,109.0,27.0,3.2,1.2,0,,0,4,27.0,3,0.25,1.0,0.0,1.0,0.83,1.31,2.4,0.7,1.6,1.35,1.64,Matches
Breno Herculano,br BRA,"FW,MF",23.0,3,79.0,26.0,2.3,0.9,0,,0,3,26.0,1,0.0,0.0,2.0,-2.0,-2.28,-1.87,0.5,1.1,-0.6,-0.67,-0.44,Matches
Xavier,br BRA,DF,22.0,1,59.0,59.0,1.7,0.7,0,,0,1,59.0,1,3.0,1.0,0.0,1.0,1.53,2.01,0.4,0.4,0.1,0.1,0.35,Matches
Lucas Emmanuel,br BRA,FW,22.0,2,55.0,28.0,1.6,0.6,0,,0,2,28.0,3,1.5,1.0,0.0,1.0,1.64,2.12,0.1,0.6,-0.6,-0.91,-0.67,Matches
Mina,br BRA,DF,19.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,7,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.3,-0.1,-0.11,0.14,Matches
Simioni,br BRA,MF,19.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,2,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.3,-0.1,-0.11,0.14,Matches
Fellipe Bastos,br BRA,MF,32.0,1,36.0,36.0,1.1,0.4,0,,0,1,36.0,10,0.0,0.0,2.0,-2.0,-5.0,-4.6,0.1,0.6,-0.4,-1.1,-0.86,Matches
Halerrandrio dos Santos,br BRA,MF,16.0,1,29.0,29.0,0.8,0.3,0,,0,1,29.0,0,3.0,0.0,0.0,0.0,0.0,0.45,0.2,0.0,0.2,0.68,0.93,Matches
Denzel,br BRA,FW,20.0,1,25.0,25.0,0.7,0.3,0,,0,1,25.0,1,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.4,-0.3,-1.21,-0.97,Matches
Jhonny Lucas,br BRA,MF,22.0,2,17.0,9.0,0.5,0.2,0,,0,2,9.0,4,1.5,1.0,0.0,1.0,5.29,5.77,0.3,0.1,0.2,0.85,1.1,Matches
Ezequiel,br BRA,GK,19.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Felipe,br BRA,MF,28.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luiz Filipe,br BRA,FW,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Matheus,br BRA,GK,28.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Nathan Melo,br BRA,MF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Daniel Nolasco,br BRA,DF,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ariel Palacio,br BRA,FW,24.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Wendell,br BRA,FW,18.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,80.0,238,174,24.0,270,1.0,36.0,53.0,-17.0,-0.45,,36.6,45.9,-9.3,-0.24,,
Opponent Total,,,27.2,38,3420.0,90.0,100.0,38.0,418,80.0,236,179,23.0,272,1.71,53.0,36.0,17.0,0.45,,45.9,36.6,9.3,0.24,,
